date,index_name,index_code,close,open,high,low,volume,change_pct
2009-02-23,Capital Link Container,CLCI,1212.46,1212.46,1212.46,1212.46,0.0,5.3397
2009-02-24,Capital Link Container,CLCI,1152.15,1152.15,1152.15,1152.15,0.0,-4.9742
2009-02-25,Capital Link Container,CLCI,1142.75,1142.75,1142.75,1142.75,0.0,-0.8159
2009-02-26,Capital Link Container,CLCI,1141.11,1141.11,1141.11,1141.11,0.0,-0.1435
2009-02-27,Capital Link Container,CLCI,1039.91,1039.91,1039.91,1039.91,0.0,-8.8686
2009-03-02,Capital Link Container,CLCI,1053.87,1053.87,1053.87,1053.87,0.0,1.3424
2009-03-03,Capital Link Container,CLCI,1131.31,1131.31,1131.31,1131.31,0.0,7.3482
2009-03-04,Capital Link Container,CLCI,1000.05,1000.05,1000.05,1000.05,0.0,-11.6025
2009-03-05,Capital Link Container,CLCI,1003.3,1003.3,1003.3,1003.3,0.0,0.325
2009-03-06,Capital Link Container,CLCI,979.42,979.42,979.42,979.42,0.0,-2.3801
2009-03-09,Capital Link Container,CLCI,1056.88,1056.88,1056.88,1056.88,0.0,7.9088
2009-03-10,Capital Link Container,CLCI,1056.17,1056.17,1056.17,1056.17,0.0,-0.0672
2009-03-11,Capital Link Container,CLCI,1082.99,1082.99,1082.99,1082.99,0.0,2.5394
2009-03-12,Capital Link Container,CLCI,1083.92,1083.92,1083.92,1083.92,0.0,0.0859
2009-03-13,Capital Link Container,CLCI,1098.83,1098.83,1098.83,1098.83,0.0,1.3756
2009-03-16,Capital Link Container,CLCI,1134.46,1134.46,1134.46,1134.46,0.0,3.2425
2009-03-17,Capital Link Container,CLCI,1201.41,1201.41,1201.41,1201.41,0.0,5.9015
2009-03-18,Capital Link Container,CLCI,1233.93,1233.93,1233.93,1233.93,0.0,2.7068
2009-03-19,Capital Link Container,CLCI,1189.77,1189.77,1189.77,1189.77,0.0,-3.5788
2009-03-20,Capital Link Container,CLCI,1213.3,1213.3,1213.3,1213.3,0.0,1.9777
2009-03-23,Capital Link Container,CLCI,1152.06,1152.06,1152.06,1152.06,0.0,-5.0474
2009-03-24,Capital Link Container,CLCI,1147.55,1147.55,1147.55,1147.55,0.0,-0.3915
2009-03-25,Capital Link Container,CLCI,1216.73,1216.73,1216.73,1216.73,0.0,6.0285
2009-03-26,Capital Link Container,CLCI,1213.72,1213.72,1213.72,1213.72,0.0,-0.2474
