date,portname,portid,year,month,day,n_container,n_dry_bulk,n_general_cargo,n_roro,n_tanker,n_cargo,n_total,capacity_container,capacity_dry_bulk,capacity_general_cargo,capacity_roro,capacity_tanker,capacity_cargo,capacity
2019-01-06,Dover Strait,chokepoint9,2019,1,6,35,35,40,12,56,122,178,659394,1514233,129061,29075,943705,2331765,3275471
2019-01-06,Gibraltar Strait,chokepoint8,2019,1,6,28,28,16,6,39,78,117,989256,914423,60570,4030,1503483,1968280,3471764
2019-01-06,Kerch Strait,chokepoint28,2019,1,6,,1,28,,11,29,40,,,30725,,51092,30725,81818
2019-01-06,Korea Strait,chokepoint12,2019,1,6,65,35,46,7,54,153,207,689915,860644,102925,8012,608484,1661497,2269982
2019-01-06,Lombok Strait,chokepoint15,2019,1,6,,21,5,,6,26,32,,2201396,15150,,220741,2216547,2437288
2019-01-06,Luzon Strait,chokepoint14,2019,1,6,4,27,8,,31,39,70,15459,1562089,57178,,1634228,1634726,3268954
2019-01-06,Magellan Strait,chokepoint21,2019,1,6,,,,,1,,1,,,,,,,
2019-01-06,Makassar Strait,chokepoint20,2019,1,6,,40,,,4,40,44,,2888771,,,111708,2888771,3000479
2019-01-06,Malacca Strait,chokepoint5,2019,1,6,41,40,10,4,50,95,145,1170789,2019584,46896,12423,2544791,3249694,5794486
2019-01-06,Mindoro Strait,chokepoint27,2019,1,6,,34,,,3,34,37,,1326294,,,,1326294,1326294
2019-01-06,Mona Passage,chokepoint24,2019,1,6,2,4,2,,1,8,9,36028,102168,10617,,1499,148814,150313
2019-01-06,Ombai Strait,chokepoint16,2019,1,6,,13,1,,4,14,18,,554202,3308,,163632,557510,721143
2019-01-06,Oresund Strait,chokepoint10,2019,1,6,4,8,17,4,11,33,44,5691,3424,22348,2479,9937,33943,43880
2019-01-06,Panama Canal,chokepoint2,2019,1,6,4,8,,4,12,16,28,94709,252917,,14059,427133,361686,788819
2019-01-06,Strait of Hormuz,chokepoint6,2019,1,6,6,12,,2,35,20,55,78135,352530,,7826,2219169,438493,2657662
2019-01-06,Suez Canal,chokepoint1,2019,1,6,13,12,6,,18,31,49,832089,664305,27559,,314955,1523954,1838909
2019-01-06,Sunda Strait,chokepoint19,2019,1,6,1,9,2,,12,12,24,31632,861682,6629,,388444,899944,1288389
2019-01-06,Taiwan Strait,chokepoint11,2019,1,6,82,48,37,6,51,173,224,1192605,1794106,224560,8342,746832,3219615,3966448
2019-01-06,Torres Strait,chokepoint18,2019,1,6,,4,1,1,1,6,7,,134856,7779,578,31526,143214,174740
2019-01-06,Tsugaru Strait,chokepoint13,2019,1,6,13,15,2,,19,30,49,459593,559409,1702,,82531,1020705,1103237
2019-01-06,Windward Passage,chokepoint23,2019,1,6,10,1,2,1,8,14,22,259460,20232,7429,3081,36401,290203,326605
2019-01-06,Yucatan Channel,chokepoint22,2019,1,6,4,7,3,1,25,15,40,34499,200705,31322,,735491,266527,1002018
2019-01-07,Bab el-Mandeb Strait,chokepoint4,2019,1,7,14,18,6,6,17,44,61,835240,911741,23460,16831,1053540,1787274,2840815
2019-01-07,Balabac Strait,chokepoint25,2019,1,7,1,5,,,5,6,11,4096,158872,,,60993,162969,223962
2019-01-07,Bering Strait,chokepoint26,2019,1,7,1,,1,1,1,3,4,85,,182,6617,49515,6886,56401
2019-01-07,Bohai Strait,chokepoint17,2019,1,7,19,59,15,2,26,95,121,421105,2825361,24513,1801,229612,3272782,3502394
2019-01-07,Bosporus Strait,chokepoint3,2019,1,7,9,21,39,1,20,70,90,135940,597682,106923,1412,574969,841958,1416928
2019-01-07,Cape of Good Hope,chokepoint7,2019,1,7,12,26,4,2,11,44,55,373706,1991913,25875,,390634,2391496,2782130
2019-01-07,Dover Strait,chokepoint9,2019,1,7,31,17,42,10,46,100,146,727945,696147,102858,14411,595667,1541363,2137030
2019-01-07,Gibraltar Strait,chokepoint8,2019,1,7,35,30,19,8,31,92,123,978575,1174945,54937,22502,835695,2230960,3066656
2019-01-07,Kerch Strait,chokepoint28,2019,1,7,1,,23,1,7,25,32,1595,,23045,3180,13061,27822,40883
2019-01-07,Korea Strait,chokepoint12,2019,1,7,59,32,61,6,75,158,233,706629,607374,111550,6005,752292,1431559,2183851
2019-01-07,Lombok Strait,chokepoint15,2019,1,7,,20,1,1,4,22,26,,1040457,2437,74,87173,1042969,1130142
2019-01-07,Luzon Strait,chokepoint14,2019,1,7,4,29,3,2,16,38,54,70669,2414319,11190,3643,393879,2499823,2893703
2019-01-07,Magellan Strait,chokepoint21,2019,1,7,,,,,1,,1,,,,,,,
2019-01-07,Makassar Strait,chokepoint20,2019,1,7,1,37,2,,9,40,49,,2697386,4388,,60882,2701775,2762657
2019-01-07,Malacca Strait,chokepoint5,2019,1,7,49,38,10,11,67,108,175,1421855,1990580,46442,24044,4026624,3482923,7509548
2019-01-07,Mindoro Strait,chokepoint27,2019,1,7,,31,,,2,31,33,,1303235,,,23234,1303235,1326469
2019-01-07,Mona Passage,chokepoint24,2019,1,7,4,6,1,,4,11,15,93048,443885,15054,,125494,551989,677484
2019-01-07,Ombai Strait,chokepoint16,2019,1,7,2,7,,,5,9,14,52817,761426,,,60972,814244,875216
2019-01-07,Oresund Strait,chokepoint10,2019,1,7,8,6,26,7,16,47,63,18575,3653,37485,4923,30826,64639,95465
2019-01-07,Panama Canal,chokepoint2,2019,1,7,8,5,3,3,13,19,32,294115,196755,12665,10450,353121,513986,867107
2019-01-07,Strait of Hormuz,chokepoint6,2019,1,7,8,7,4,1,50,20,70,290939,226869,14350,2281,1940965,534441,2475406
